date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-07-30,Adana,28.42,33.0,24.0,8.36,20.5,0.0,210.0,76.79,23.63,1004.82,0.0,0
2019-07-31,Adana,28.82,33.0,25.7,8.35,20.5,0.0,210.0,77.79,24.32,1004.14,0.0,0
2019-08-01,Adana,28.84,34.0,25.5,9.08,20.5,0.0,140.0,77.25,24.09,1004.27,0.0,0
2019-08-02,Adana,28.62,33.0,25.0,11.09,24.1,1.8,200.0,74.96,23.47,1004.9,0.0,0
2019-08-03,Adana,28.88,33.1,25.7,10.43,24.1,0.0,210.0,77.71,24.31,1003.35,0.0,0
2019-08-04,Adana,29.42,33.0,26.0,10.1,22.3,0.0,140.0,76.75,24.67,1003.21,0.0,0
2019-08-05,Adana,29.75,35.0,26.1,7.81,22.3,0.0,0.0,75.46,24.58,1003.43,0.0,0
2019-08-06,Adana,29.56,35.0,26.0,9.99,27.7,0.0,140.0,72.67,23.67,1005.22,0.0,0
2019-08-07,Adana,29.38,35.0,24.5,9.87,27.7,0.0,220.0,64.5,21.02,1006.03,0.0,0
2019-08-08,Adana,28.87,34.2,24.0,9.33,24.1,0.0,220.0,68.17,21.58,1005.3,0.0,0
2019-08-09,Adana,28.57,34.0,22.2,8.2,16.6,0.0,210.0,71.88,22.42,1003.78,0.0,0
2019-08-10,Adana,29.16,34.0,24.2,7.61,18.4,0.0,0.0,74.33,23.6,1003.85,0.0,0
2019-08-11,Adana,29.11,35.0,23.0,9.09,24.1,0.0,210.0,72.54,22.92,1004.03,0.0,0
2019-08-12,Adana,29.58,35.0,24.5,7.31,18.4,0.0,0.0,72.71,23.48,1004.05,0.0,0
2019-08-13,Adana,29.74,35.0,25.2,7.83,18.4,0.0,200.0,75.75,24.58,1004.06,0.0,0
2019-08-14,Adana,29.91,34.0,26.7,9.15,20.5,0.0,190.0,77.71,25.36,1004.85,0.0,0
2019-08-15,Adana,28.46,31.0,25.0,11.68,24.1,0.0,210.0,78.54,24.22,1006.13,0.0,0
